subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
6,"What is the difference between a sample space and an event in probability theory?",,"A sample space is the set of all possible outcomes of a random experiment, whereas an event is a specific subset of those outcomes.",,2.5,0,2026-05-19,0
6,"State the three fundamental axioms of probability (Kolmogorov Axioms).",,"1. The probability of any event is non-negative: P(A) >= 0. 2. The probability of the entire sample space is 1: P(S) = 1. 3. For any sequence of mutually exclusive events, the probability of their union equals the sum of their individual probabilities.",,2.5,0,2026-05-19,0
6,"What is the formula for Conditional Probability P(A|B) and what does it conceptually represent?",,"P(A|B) = P(A ∩ B) / P(B), given P(B) > 0. It measures the probability of event A occurring, given the prior knowledge that event B has already occurred.",,2.5,0,2026-05-19,0
6,"State the Law of Total Probability.",,"If events B1, B2, ..., Bn form a partition of the sample space, then for any event A: P(A) = Σ [P(A|Bi) * P(Bi)] summed from i=1 to n.",,2.5,0,2026-05-19,0
6,"State Bayes' Theorem mathematically.",,"P(A|B) = [P(B|A) * P(A)] / P(B), which allows updating the prior probability of an event (A) after observing new evidence (B).",,2.5,0,2026-05-19,0
6,"What defines a Random Variable?",,"A real-valued function that maps every outcome in a sample space to a specific numerical value.",,2.5,0,2026-05-19,0
6,"What is the defining difference between a Probability Mass Function (PMF) and a Probability Density Function (PDF)?",,"A PMF maps discrete outcomes to exact probabilities where the values sum to 1, whereas a PDF maps continuous variables where the area under the curve represents probability and integrates to 1.",,2.5,0,2026-05-19,0
6,"What are the conditions required for a function F(x) to be a valid Cumulative Distribution Function (CDF)?",,"It must be non-decreasing, right-continuous, have a limit of 0 as x approaches negative infinity, and have a limit of 1 as x approaches positive infinity.",,2.5,0,2026-05-19,0
6,"State the Expected Value E[X] formula for both a discrete and a continuous random variable.",,"Discrete: E[X] = Σ [x * p(x)]. Continuous: E[X] = ∫ [x * f(x) dx] from negative infinity to positive infinity.",,2.5,0,2026-05-19,0
6,"How is Variance mathematically defined in terms of Expected Value, and what is its shortcut computational formula?",,"Definition: Var(X) = E[(X - E[X])^2]. Shortcut: Var(X) = E[X^2] - (E[X])^2.",,2.5,0,2026-05-19,0
6,"What are the parameters and probability mass function of a Binomial Distribution?",,"Parameters: n (number of independent trials) and p (probability of success). PMF: P(X=k) = (n choose k) * p^k * (1-p)^(n-k).",,2.5,0,2026-05-19,0
6,"What are the properties of a standard normal distribution (Z-distribution)?",,"It is a continuous, symmetric, bell-shaped distribution with a Mean (μ) equal to 0 and a Variance (σ^2) equal to 1.",,2.5,0,2026-05-19,0
6,"State the Central Limit Theorem (CLT) and explain its structural significance in statistics.",,"It states that the sampling distribution of the sample mean approaches a normal distribution as the sample size (n) becomes large (typically n >= 30), regardless of the shape of the population distribution.",,2.5,0,2026-05-19,0
6,"What is the difference between a population parameter and a sample statistic?",,"A population parameter is a fixed, true numerical characteristic of an entire population, whereas a sample statistic is a variable numeric characteristic computed from a random sample.",,2.5,0,2026-05-19,0
6,"Contrast an unbiased estimator with a biased estimator.",,"An unbiased estimator has an expected value exactly equal to the true population parameter it estimates; a biased estimator has an expected value that systematically deviates from the true parameter value.",,2.5,0,2026-05-19,0
6,"What is the core conceptual philosophy behind Maximum Likelihood Estimation (MLE)?",,"It finds the parameter values that maximize the likelihood function, making the observed sample data the most probable outcome under the chosen statistical model.",,2.5,0,2026-05-19,0
6,"What does a 95% Confidence Interval for a population mean explicitly mean?",,"It means that if we repeat the sampling process infinitely, 95% of the calculated intervals will contain the true population mean.",,2.5,0,2026-05-19,0
6,"Differentiate between the Null Hypothesis (H0) and the Alternative Hypothesis (Ha).",,"The Null Hypothesis represents a baseline statement of no effect, no change, or status quo, while the Alternative Hypothesis represents the claim of an effect or difference that the researcher aims to support.",,2.5,0,2026-05-19,0
6,"Define Type I Error and Type II Error in hypothesis testing frameworks.",,"Type I Error occurs when you reject a true null hypothesis (false positive). Type II Error occurs when you fail to reject a false null hypothesis (false negative).",,2.5,0,2026-05-19,0
6,"What is a p-value in hypothesis testing, and what is the decision rule regarding the significance level (alpha)?",,"The p-value is the probability of obtaining test results at least as extreme as the observed results, assuming the null hypothesis is true. If p-value <= alpha, reject H0; if p-value > alpha, fail to reject H0.",,2.5,0,2026-05-19,0
