subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
7,"What distinguishes an explicit solution from an implicit solution of an ordinary differential equation (ODE)?",,"An explicit solution expresses the dependent variable completely in terms of the independent variable (e.g., y = f(x)), while an implicit solution relates them via a combined equation (e.g., g(x, y) = 0) that is not solved for y.",,2.5,0,2026-05-19,0
7,"What condition must a first-order differential equation satisfy to be classified as separable?",,"It must be capable of being written in the form dy/dx = g(x) * h(y), allowing all terms involving y to be moved to one side and all terms involving x to the other before integrating.",,2.5,0,2026-05-19,0
7,"What is an Integrating Factor, and how is it calculated for the standard linear first-order ODE: dy/dx + P(x)y = Q(x)?",,"An integrating factor I(x) is a multiplier that transforms the left side of the equation into a perfect derivative. It is calculated as: I(x) = e^(∫ P(x) dx).",,2.5,0,2026-05-19,0
7,"What condition determines if the first-order differential equation M(x, y)dx + N(x, y)dy = 0 is exact?",,"The equation is exact if the partial derivative of M with respect to y equals the partial derivative of N with respect to x: ∂M/∂y = ∂N/∂x.",,2.5,0,2026-05-19,0
7,"What is the auxiliary (characteristic) equation for the second-order linear homogeneous ODE: ay'' + by' + cy = 0?",,"am^2 + bm + c = 0, where the roots (m) determine the functional form of the general solution.",,2.5,0,2026-05-19,0
7,"If the characteristic equation of a second-order homogeneous ODE yields two distinct real roots (m1 != m2), what is the general solution form?",,"y(x) = C1 * e^(m1*x) + C2 * e^(m2*x).",,2.5,0,2026-05-19,0
7,"If the characteristic equation of a second-order homogeneous ODE yields a repeated real root (m1 = m2 = m), what is the general solution form?",,"y(x) = C1 * e^(m*x) + C2 * x * e^(m*x).",,2.5,0,2026-05-19,0
7,"If the characteristic equation of a second-order homogeneous ODE yields complex conjugate roots (m = alpha ± i*beta), what is the general solution form?",,"y(x) = e^(alpha*x) * [C1 * cos(beta*x) + C2 * sin(beta*x)].",,2.5,0,2026-05-19,0
7,"In the method of Undetermined Coefficients, what is the chosen form of the particular solution (yp) if the non-homogeneous driving term is g(x) = x^2?",,"yp(x) = Ax^2 + Bx + C (assuming no terms conflict with the complementary homogeneous solution).",,2.5,0,2026-05-19,0
7,"What is the primary advantage of the Variation of Parameters method over the method of Undetermined Coefficients?",,"Variation of Parameters can find a particular solution for any continuous non-homogeneous driving function g(x) (like tan(x) or ln(x)), whereas Undetermined Coefficients is restricted to polynomials, exponentials, sines, and cosines.",,2.5,0,2026-05-19,0
7,"What is the Wronskian of a set of functions, and how is it used to evaluate solutions to higher-order linear ODEs?",,"The Wronskian is the determinant of a matrix formed by the functions in the first row and their successive derivatives in subsequent rows. If the Wronskian is non-zero, the solutions are linearly independent.",,2.5,0,2026-05-19,0
7,"How is a single nth-order linear differential equation converted into a system of first-order differential equations?",,"By defining n-1 new state variables such that x1 = y, x2 = y', x3 = y'', up to xn = y^(n-1), rewriting the original ODE as a matrix-vector system dx/dt = A*x + f(t).",,2.5,0,2026-05-19,0
7,"For a homogeneous system of first-order linear differential equations dx/dt = A*x, how do you construct the general solution given distinct eigenvalues?",,"x(t) = C1 * v1 * e^(λ1*t) + C2 * v2 * e^(λ2*t) + ... + Cn * vn * e^(λn*t), where λi are the eigenvalues of matrix A and vi are their corresponding eigenvectors.",,2.5,0,2026-05-19,0
7,"Define the Laplace Transform of a time-domain function f(t).",,"The integral transform defined as L{f(t)} = F(s) = ∫ [e^(-s*t) * f(t) dt] evaluated from t = 0 to positive infinity.",,2.5,0,2026-05-19,0
7,"What is the Laplace Transform of the first derivative of a function, L{y'(t)}?",,"L{y'(t)} = s * Y(s) - y(0), where Y(s) is the Laplace transform of y(t) and y(0) is the initial condition.",,2.5,0,2026-05-19,0
7,"What is the Laplace Transform of the second derivative of a function, L{y''(t)}?",,"L{y''(t)} = s^2 * Y(s) - s * y(0) - y'(0), where y(0) and y'(0) represent the initial conditions.",,2.5,0,2026-05-19,0
7,"Why are Laplace Transform methods uniquely powerful for solving linear differential equations in engineering applications?",,"They algebraically transform calculus operations (differentiation and integration) into simple algebraic equations in the 's' domain, while automatically incorporating initial conditions directly into the setup.",,2.5,0,2026-05-19,0
7,"What does the Dirac Delta function δ(t - t0) simulate in engineering applications, and what is its Laplace Transform?",,"It simulates an instantaneous, infinitely high impulse or shock load applied at time t0. Its Laplace transform is L{δ(t - t0)} = e^(-s * t0).",,2.5,0,2026-05-19,0
7,"What mechanical system is represented by the second-order ODE model: m*x''(t) + b*x'(t) + k*x(t) = F(t)?",,"A mass-spring-damper system, where 'm' is the mass, 'b' is the damping coefficient, 'k' is the spring stiffness constant, and 'F(t)' is the external driving force.",,2.5,0,2026-05-19,0
7,"In an RLC circuit engineering model, which physical properties map to the coefficients of a second-order linear differential equation?",,"Inductance (L) maps to the second-derivative term, Resistance (R) maps to the first-derivative term, and the inverse of Capacitance (1/C) maps to the proportional state term.",,2.5,0,2026-05-19,0
