subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
8,"What is the epsilon-delta (ε-δ) definition of a limit?",,"The limit of f(x) as x approaches c is L if for every ε > 0 there exists a δ > 0 such that if 0 < |x - c| < δ, then |f(x) - L| < ε.",,2.5,0,2026-05-19,0
8,"What does the Intermediate Value Theorem (IVT) state, and what is its primary geometric condition?",,"If f(x) is continuous on [a, b] and u is any value between f(a) and f(b), there exists at least one value c in (a, b) such that f(c) = u.",,2.5,0,2026-05-19,0
8,"State the limit definition of the derivative of a function f(x).",,"f'(x) = lim (h -> 0) [f(x + h) - f(x)] / h, which represents the instantaneous rate of change or slope of the tangent line at x.",,2.5,0,2026-05-19,0
8,"State the Mean Value Theorem (MVT) for derivatives and its geometric interpretation.",,"If f is continuous on [a, b] and differentiable on (a, b), there exists a c in (a, b) where f'(c) = [f(b) - f(a)] / (b - a), meaning the instantaneous slope equals the average slope.",,2.5,0,2026-05-19,0
8,"According to the first and second derivative tests, how do you locate a local maximum of a function f(x)?",,"A local maximum occurs at a critical point where f'(x) = 0 (or is undefined) and the derivative changes from positive to negative, or where f''(x) < 0 (concave down).",,2.5,0,2026-05-19,0
8,"What is the optimization procedure for solving standard related rates problems in Calculus I?",,"1. Write an equation relating the variables. 2. Differentiate both sides with respect to time (t) using the chain rule. 3. Substitute known values and solve for the target rate.",,2.5,0,2026-05-19,0
8,"State Part 1 and Part 2 of the Fundamental Theorem of Calculus (FTC).",,"Part 1: If g(x) = ∫[a to x] f(t)dt, then g'(x) = f(x). Part 2: Evaluation theorem states that ∫[a to b] f(x)dx = F(b) - F(a), where F'(x) = f(x).",,2.5,0,2026-05-19,0
8,"What is the formula for finding the volume of a solid of revolution using the Shell Method versus the Washer Method?",,"Shell Method: V = 2π * ∫ [radius * height] dx. Washer Method: V = π * ∫ [(Outer Radius)^2 - (Inner Radius)^2] dx.",,2.5,0,2026-05-19,0
8,"What is the integration by parts formula, and what foundational derivative rule is it derived from?",,"∫ u dv = u*v - ∫ v du, which is directly derived from the Product Rule of differentiation.",,2.5,0,2026-05-19,0
8,"When evaluating trigonometric integrals, what standard substitutions are used for the expression sqrt(a^2 - x^2) versus sqrt(a^2 + x^2)?",,"For sqrt(a^2 - x^2) use x = a*sin(theta). For sqrt(a^2 + x^2) use x = a*tan(theta).",,2.5,0,2026-05-19,0
8,"What defines an improper integral, and how is it mathematically evaluated?",,"An integral with an infinite limit of integration or an infinite discontinuity within the interval; it is evaluated by replacing the problematic boundary with a variable and taking a limit.",,2.5,0,2026-05-19,0
8,"What is the difference between a Taylor series and a Maclaurin series?",,"A Taylor series is a power series representation of a function centered at any arbitrary point x = a, while a Maclaurin series is a Taylor series specifically centered at x = 0.",,2.5,0,2026-05-19,0
8,"State the general formula for the coefficients cn in a Taylor series expansion of f(x) centered at a.",,"cn = f^(n)(a) / n!, where f^(n)(a) represents the nth derivative of f evaluated at a.",,2.5,0,2026-05-19,0
8,"What is the Ratio Test and how is it used to find the radius of convergence of a power series?",,"Evaluate L = lim(n->inf) |a_{n+1} / a_n|. The series converges absolutely if L < 1, diverges if L > 1, and the boundary condition solves for the radius of convergence R.",,2.5,0,2026-05-19,0
8,"How do you compute the dot product versus the cross product of two 3D vectors, and what do their scalar results physically mean?",,"Dot product (a · b = ax*bx + ay*by + az*bz) yields a scalar tracking alignment/projection. Cross product yields a vector orthogonal to both inputs, whose magnitude is the area of their parallelogram.",,2.5,0,2026-05-19,0
8,"What is a quadric surface, and what geometric shape is represented by the equation z = x^2/a^2 + y^2/b^2?",,"A quadric surface is a 3D surface defined by a second-degree polynomial equation. This specific equation defines an elliptic paraboloid.",,2.5,0,2026-05-19,0
8,"Define the partial derivative of f(x, y) with respect to x, and state its geometric meaning.",,"fx(x, y) = lim (h -> 0) [f(x + h, y) - f(x, y)] / h. It represents the slope of the surface tangent line when moving parallel to the x-axis (holding y constant).",,2.5,0,2026-05-19,0
8,"What is the Gradient Vector (∇f) of a multivariable function, and what does its direction physically represent?",,"∇f is the vector of a function's first-order partial derivatives. Its direction points toward the path of maximum/steepest ascent on the surface.",,2.5,0,2026-05-19,0
8,"What is the Directional Derivative, and how is it computed using the gradient?",,"The rate of change of a function in the direction of a unit vector u. It is computed as the dot product: Du f = ∇f · u.",,2.5,0,2026-05-19,0
8,"How does the Second Derivatives Test classify a critical point (a, b) of a function f(x, y) using the Hessian determinant D?",,"Compute D = fxx*fyy - (fxy)^2. If D > 0 and fxx > 0, it is a local minimum; if D > 0 and fxx < 0, it is a local maximum; if D < 0, it is a saddle point.",,2.5,0,2026-05-19,0
8,"Explain the method of Lagrange Multipliers for constrained optimization.",,"To optimize f(x, y) subject to a constraint g(x, y) = k, find the points where the gradient of f is parallel to the gradient of g: ∇f = λ * ∇g.",,2.5,0,2026-05-19,0
8,"What is a vector function r(t), and how do you find the unit tangent vector T(t)?",,"A function that maps a scalar parameter t to a position vector in space. The unit tangent vector is calculated as T(t) = r'(t) / |r'(t)|.",,2.5,0,2026-05-19,0
8,"When evaluating double integrals, what are the tracking transformation factors when converting from Rectangular coordinates to Polar coordinates?",,"Replace x with r*cos(theta), y with r*sin(theta), and swap the differential area element dA = dx dy with r dr dtheta.",,2.5,0,2026-05-19,0
8,"What are the coordinate transformations and the volume element dV when shifting to Spherical Coordinates?",,"x = ρ*sin(φ)*cos(θ), y = ρ*sin(φ)*sin(θ), z = ρ*cos(φ). The differential volume element changes to dV = ρ^2 * sin(φ) dρ dφ dθ.",,2.5,0,2026-05-19,0
8,"What is a Line Integral of a vector field F along a curve C parameterized by r(t) for a <= t <= b?",,"The integral of the tangential component of the vector field along the curve: ∫_C F · dr = ∫ [a to b] F(r(t)) · r'(t) dt.",,2.5,0,2026-05-19,0
8,"What condition must a vector field F satisfy to be considered Conservative, and what does the Fundamental Theorem for Line Integrals imply for such fields?",,"F must be the gradient of some scalar potential function f (F = ∇f), which implies that line integrals are path-independent: ∫_C ∇f · dr = f(r(b)) - f(r(a)).",,2.5,0,2026-05-19,0
8,"State Green's Theorem in the plane.",,"It relates a line integral around a positively oriented, piecewise-smooth, simple closed curve C to a double integral over the region D bounded by C: ∮_C (P dx + Q dy) = ∬_D (∂Q/∂x - ∂P/∂y) dA.",,2.5,0,2026-05-19,0
8,"What does a Surface Integral (Flux Integral) of a vector field F across a surface S with unit normal vector n physically represent?",,"∬_S F · n dS, which measures the volume of fluid/field passing through the surface per unit time.",,2.5,0,2026-05-19,0
8,"State the Divergence Theorem (Gauss's Theorem).",,"It relates the net flux of a vector field through a closed surface S to the volume integral of its divergence over the enclosed solid region E: ∬_S F · dS = ∭_E (div F) dV.",,2.5,0,2026-05-19,0
