subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
1,"According to the transcript, what was the first operating system and what were its primary limitations?",,"GM-NIO, shipped in 1956, could run only one program at a time, had no memory protection, no users, and no files.",,2.5,0,2026-05-19,0
1,"What is the primary role of system firmware like UEFI or BIOS when a computer powers up?",,"To wake up just enough hardware to find a disk and hand off execution to a bootloader.",,2.5,0,2026-05-19,0
1,"What is the principal task of a bootloader such as Grub, iBoot, or Bootmgr?",,"To locate the operating system kernel on the disk and load it into RAM.",,2.5,0,2026-05-19,0
1,"What are the two main privilege rings utilized by the CPU to protect the system, and what does each do?",,"Ring 0 (kernel space) runs code with full privileges to do anything, while Ring 3 (user space) runs applications with restricted access.",,2.5,0,2026-05-19,0
1,"Why are CPU privilege rings critical for system security and stability?",,"They isolate applications so a buggy or malicious program cannot read another program's memory or crash the entire system.",,2.5,0,2026-05-19,0
1,"What hardware component handles the translation of virtual memory addresses to physical RAM addresses?",,"The Memory Management Unit (MMU), which utilizes a data structure called a page table.",,2.5,0,2026-05-19,0
1,"How does allocating memory in pages with unique page tables protect concurrent applications?",,"Each process gets its own page table, isolating their address spaces into parallel universes so they cannot read each other's data.",,2.5,0,2026-05-19,0
1,"What is the Translation Lookaside Buffer (TLB) in virtual memory architecture?",,"A tiny hardware structure inside the MMU that caches recent virtual-to-physical address translations.",,2.5,0,2026-05-19,0
1,"What is an OS page fault and how is it resolved?",,"An exception raised by the MMU when a program requests a page not currently in RAM; the kernel intercepts it, loads the page from disk, and resumes execution.",,2.5,0,2026-05-19,0
1,"How does a file system organize a disk at the lowest level versus the user level?",,"At the lowest level, a disk is a long line of numbered blocks; the file system abstracts this into files and folders.",,2.5,0,2026-05-19,0
1,"What is an index node (inode) in a file system, and what does it contain?",,"A metadata structure containing file size, permissions, timestamps, and pointers to data blocks on disk—but excluding the file name.",,2.5,0,2026-05-19,0
1,"Where do file names live in a file system if they are not stored inside the index node (inode)?",,"File names live inside directories, which are special files mapping names to their respective index node numbers.",,2.5,0,2026-05-19,0
1,"What is the benefit of file system journaling in modern architectures like ext4, NTFS, or APFS?",,"It writes a log of intentions before executing data writes, preventing corrupted garbage if power is suddenly lost mid-write.",,2.5,0,2026-05-19,0
1,"What is a device driver and what privilege level does it typically execute in?",,"Specialized code translating generic kernel requests into hardware-specific instructions; it runs in kernel mode (Ring 0), meaning bugs can crash the entire OS.",,2.5,0,2026-05-19,0
1,"How does a hardware device like a keyboard or Wi-Fi card instantly notify the operating system of an event?",,"By firing an electrical signal called an interrupt, which pauses the CPU's current task and jumps to an interrupt handler in the kernel.",,2.5,0,2026-05-19,0
1,"What is PID1 and what is its significance in process management?",,"The very first user space process created by the kernel (e.g., systemd); it is the ancestor of every other process, and if it dies, the system crashes.",,2.5,0,2026-05-19,0
1,"What actions must the kernel take to initialize a brand new process?",,"Allocate physical memory, load an executable file from disk, construct a virtual address space page table, and add an entry to the process table.",,2.5,0,2026-05-19,0
1,"What is a system call (syscall) and why is it essential for user space applications?",,"A controlled boundary/API that switches execution from Ring 3 to Ring 0, allowing restricted programs to request kernel actions safely.",,2.5,0,2026-05-19,0
1,"Which two primary system calls are used to spawn and execute new processes within user space?",,"The fork and exec system calls.",,2.5,0,2026-05-19,0
1,"What analogy describes the operating system scheduler, and what technique does modern Linux use?",,"It acts like an air traffic controller managing runway access (CPU cores); modern Linux uses Earliest Eligible Virtual Deadline First (EEVDF).",,2.5,0,2026-05-19,0
1,"What is a thread, and how does its resource allocation differ from a full process?",,"A thread is a path of execution that shares the parent process's memory and file descriptors, but maintains its own unique stack and program counter.",,2.5,0,2026-05-19,0
1,"What concurrency risk occurs when multiple threads write to a shared variable simultaneously?",,"A race condition, which can produce unpredictable data bugs unless guarded by language features or memory rules.",,2.5,0,2026-05-19,0
1,"What is a pipe in Interprocess Communication (IPC) and how does it function?",,"An IPC technique linking two processes by channeling the output of one directly into the input of another via a stream of bytes, requiring no shared memory.",,2.5,0,2026-05-19,0
1,"What three Interprocess Communication (IPC) techniques are specifically highlighted in the transcript?",,"Pipes, sockets, and message queues.",,2.5,0,2026-05-19,0
1,"What occurs during a system shutdown when PID1 issues SIGTERM versus SIGKILL?",,"SIGTERM is sent first to politely ask processes to save state and quit; after a timeout, SIGKILL forcibly terminates any remaining processes.",,2.5,0,2026-05-19,0
