subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
4,"What is the core difference between combinational and sequential logic circuits?",,"Combinational circuit outputs depend solely on their current inputs, whereas sequential circuit outputs depend on both current inputs and past states (stored memory).",,2.5,0,2026-05-19,0
4,"What is a Karnaugh Map (K-Map) and what is its primary rule for grouping cells?",,"A visual tool used to minimize Boolean functions. Groups must be rectangular, contain a power of two number of cells (1, 2, 4, 8, 16...), and can wrap around edges.",,2.5,0,2026-05-19,0
4,"Describe the logic function and implementation differences between a Half Adder and a Full Adder.",,"A Half Adder adds two 1-bit inputs to produce a Sum and Carry. A Full Adder adds three 1-bit inputs (including a Carry-In from a previous stage) to produce a Sum and Carry-Out.",,2.5,0,2026-05-19,0
4,"What is a multiplexer (MUX) and how is the number of selection lines determined?",,"A combinational circuit that selects one of many input signals and forwards it to a single output line. For 'N' input lines, log2(N) selection lines are required.",,2.5,0,2026-05-19,0
4,"What is the function of a binary decoder circuit?",,"A combinational circuit that converts an n-bit binary input code into a maximum of 2^n unique output lines, where exactly one output line is activated at a time.",,2.5,0,2026-05-19,0
4,"What is the structural and behavioral difference between a latch and a flip-flop?",,"A latch is level-triggered (its state changes anytime the clock/enable signal is high), while a flip-flop is edge-triggered (its state changes only at a specific transition edge of the clock signal).",,2.5,0,2026-05-19,0
4,"What is the invalid or forbidden state in a basic SR latch and why is it problematic?",,"The state where both S=1 and R=1 simultaneously. It forces both outputs (Q and Q-prime) to equal 0, violating complement laws, and creates an unpredictable race condition when inputs drop back to 0.",,2.5,0,2026-05-19,0
4,"How does a D flip-flop resolve the invalid state problem seen in an SR latch?",,"It feeds the D input directly into the Set gate and an inverted D input into the Reset gate, ensuring that the internal Set and Reset signals can never be high at the same time.",,2.5,0,2026-05-19,0
4,"Explain the difference between a synchronous counter and an asynchronous (ripple) counter.",,"In a synchronous counter, all flip-flops share a single global clock signal and trigger simultaneously. In an asynchronous counter, the output of one flip-flop acts as the clock input for the next, causing a propagation delay 'ripple' effect.",,2.5,0,2026-05-19,0
4,"What is a shift register and what are its four common operational configurations?",,"A sequential circuit consisting of chained flip-flops used to move binary data laterally. Configurations: SISO (Serial-In Serial-Out), SIPO (Serial-In Parallel-Out), PISO (Parallel-In Serial-Out), and PIPO (Parallel-In Parallel-Out).",,2.5,0,2026-05-19,0
4,"What is a Tri-State Buffer and why is it essential for digital busing architectures?",,"A logic gate with three output states: High (1), Low (0), and High-Impedance (Hi-Z). The Hi-Z state effectively disconnects the device from a shared bus line, preventing electrical shorts when multiple devices share a line.",,2.5,0,2026-05-19,0
4,"What is the functional difference between Volatile and Non-Volatile memory modules?",,"Volatile memory (like SRAM or DRAM) loses its stored data when electrical power is disconnected, while Non-Volatile memory (like Flash or ROM) retains its data even without power.",,2.5,0,2026-05-19,0
4,"In structural memory design, what is the role of the Address Decoder?",,"It takes a binary address input and activates exactly one specific word line within the memory array, enabling access to that specific register or storage location.",,2.5,0,2026-05-19,0
4,"What is an HDL, and what are the two predominant industry-standard Hardware Description Languages?",,"HDL stands for Hardware Description Language, a specialized programming language used to model physical digital circuits. The two industry standards are VHDL and Verilog (including SystemVerilog).",,2.5,0,2026-05-19,0
4,"What is the physical meaning of 'Synthesis' when using CAD tools for HDL development?",,"Synthesis is the CAD compilation process that translates abstract, text-based behavioral HDL code into a physical netlist of interconnected hardware logic gates.",,2.5,0,2026-05-19,0
4,"What does FPGA stand for, and what are its core internal building blocks?",,"FPGA stands for Field Programmable Gate Array. Its core blocks are Configurable Logic Blocks (CLBs) containing Look-Up Tables (LUTs), flip-flops, programmable routing matrices, and I/O blocks.",,2.5,0,2026-05-19,0
4,"How do FPGAs implement arbitrary Boolean logic functions without containing physical, hard-wired custom logic gates?",,"FPGAs use Look-Up Tables (LUTs), which are small, volatile SRAM-based truth tables that output a pre-programmed value for any set of binary inputs.",,2.5,0,2026-05-19,0
4,"What is the difference between behavioral modeling and structural modeling in Verilog/VHDL?",,"Behavioral modeling describes what a circuit does mathematically or algorithmically using constructs like 'always' blocks, whereas structural modeling describes how a circuit is wired by instantiating specific logic gates or submodules.",,2.5,0,2026-05-19,0
4,"Explain the difference between Don't-Care conditions (X) in Boolean logic minimization and their impact on circuit implementation.",,"Don't-Care conditions represent input combinations that will never occur or whose outputs do not matter. In K-Maps, they can be treated as either 0 or 1 to create larger, more optimal gate grouping simplifications.",,2.5,0,2026-05-19,0
4,"What are setup time and hold time constraints in sequential logic circuit timing analysis?",,"Setup time is the minimum time data must remain stable BEFORE the active clock edge. Hold time is the minimum time data must remain stable AFTER the active clock edge to prevent metastability.",,2.5,0,2026-05-19,0
