subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
2,"What does Big-O notation asymptotically represent?",,"It represents the upper bound of an algorithm's running time, describing the worst-case scenario or the maximum rate of growth as the input size approaches infinity.",,2.5,0,2026-05-19,0
2,"What is the difference between Big-Omega (Ω) and Big-Theta (Θ) notations?",,"Big-Omega provides an asymptotic lower bound (best-case/minimum growth rate), while Big-Theta provides a tight asymptotic bound (matching upper and lower bounds).",,2.5,0,2026-05-19,0
2,"What is the primary purpose of the Master Theorem in algorithm analysis?",,"It provides a cookbook-style solution for finding the asymptotic bound of recurrence relations of the form T(n) = aT(n/b) + f(n), where a >= 1 and b > 1.",,2.5,0,2026-05-19,0
2,"What is the recurrence relation and worst-case time complexity for the Merge Sort algorithm?",,"Recurrence: T(n) = 2T(n/2) + O(n). Worst-case time complexity: O(n log n).",,2.5,0,2026-05-19,0
2,"Define the brute-force design strategy and give one common sorting algorithm example.",,"A straightforward approach to solving a problem, usually based directly on the problem statement and definitions. Example: Selection Sort or Bubble Sort.",,2.5,0,2026-05-19,0
2,"Explain the three fundamental steps of the Divide and Conquer design strategy.",,"1. Divide the problem into smaller subproblems. 2. Conquer the subproblems by solving them recursively. 3. Combine the subproblem solutions into the original problem solution.",,2.5,0,2026-05-19,0
2,"How does Decrease and Conquer differ from Divide and Conquer?",,"Divide and Conquer breaks a problem into multiple smaller subproblems, whereas Decrease and Conquer reduces the problem size to a single smaller subproblem.",,2.5,0,2026-05-19,0
2,"What is an example of a Decrease-by-a-Constant-Factor algorithm and what is its running time?",,"Binary Search, which decreases the problem size by half at each step and runs in O(log n) time.",,2.5,0,2026-05-19,0
2,"What is the core mechanism of the Transform and Conquer design strategy?",,"It transforms a problem instance into another form that is simpler or more convenient to solve (e.g., converting an unsorted array into a heap structure to perform Heapsort).",,2.5,0,2026-05-19,0
2,"What two key properties must a problem exhibit to be efficiently solvable via Dynamic Programming?",,"1. Overlapping subproblems (subproblems are evaluated multiple times). 2. Optimal substructure (an optimal solution contains optimal solutions to subproblems).",,2.5,0,2026-05-19,0
2,"Contrast the top-down and bottom-up implementation approaches in Dynamic Programming.",,"Top-down uses memoization (recursive execution caching results), while bottom-up uses tabulation (iterative execution filling a table from the smallest subproblems upward).",,2.5,0,2026-05-19,0
2,"What is the fundamental property governing the Greedy Technique?",,"The greedy choice property, which dictates that a globally optimal solution can be reached by making a locally optimal (greedy) choice at each stage.",,2.5,0,2026-05-19,0
2,"Why can the Fractional Knapsack problem be solved greedily, while the 0/1 Knapsack problem requires Dynamic Programming?",,"Fractional Knapsack allows breaking items down (local item density choices remain optimal). 0/1 Knapsack requires binary choices where local greedy choices can leave wasted capacity, violating the greedy choice property.",,2.5,0,2026-05-19,0
2,"In computational complexity theory, what defines the complexity class P?",,"The set of all decision problems that can be solved by a deterministic Turing machine in polynomial time, O(n^k) for some constant k.",,2.5,0,2026-05-19,0
2,"In computational complexity theory, what defines the complexity class NP?",,"The set of all decision problems for which a given candidate solution can be verified by a deterministic Turing machine in polynomial time.",,2.5,0,2026-05-19,0
2,"What two conditions must a decision problem satisfy to be classified as NP-Complete?",,"1. It must belong to the class NP. 2. Every other problem in NP must be polynomial-time reducible to it.",,2.5,0,2026-05-19,0
2,"What is the distinction between an NP-Complete problem and an NP-Hard problem?",,"An NP-Complete problem must be in NP and be NP-Hard. An NP-Hard problem is at least as hard as any problem in NP, but does not necessarily have to be in the class NP itself.",,2.5,0,2026-05-19,0
2,"What is a polynomial-time reduction in intractability analysis?",,"A method of transforming problem A into problem B in polynomial time, proving that if problem B can be solved efficiently, then problem A can also be solved efficiently.",,2.5,0,2026-05-19,0
2,"What is the primary objective of an Approximation Algorithm?",,"To find a near-optimal solution within a guaranteed factor of the true optimum for optimization problems that are NP-Hard and cannot be solved exactly in polynomial time.",,2.5,0,2026-05-19,0
2,"Explain the optimal substructure property found in both Greedy and Dynamic Programming paradigms.",,"It means that an optimal solution to the overall problem incorporates optimal solutions to its constituent subproblems.",,2.5,0,2026-05-19,0
