subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
3,"What are the three main constituent buses of a standard system bus in computer organization, and what do they transport?",,"The Data Bus (carries actual data/instructions), the Address Bus (carries memory/device addresses specifying destinations), and the Control Bus (carries synchronization and command signals like read/write tokens).",,2.5,0,2026-05-19,0
3,"What is the purpose of the Program Counter (PC) register in a microcontroller CPU?",,"The Program Counter holds the memory address of the next instruction to be fetched and executed by the CPU.",,2.5,0,2026-05-19,0
3,"Differentiate between Memory-Mapped I/O and Port-Mapped (Isolated) I/O configurations.",,"Memory-Mapped I/O shares the same address space and instructions as regular system RAM, while Port-Mapped I/O uses a distinct address space accessed via specialized CPU instructions (like IN and OUT).",,2.5,0,2026-05-19,0
3,"How is a negative integer represented in binary using the Two's Complement system?",,"By taking the absolute value of the number in binary, inverting all of its bits (one's complement), and then adding 1 to the least significant bit.",,2.5,0,2026-05-19,0
3,"Explain the difference between Big-Endian and Little-Endian memory architectures.",,"Big-Endian stores the most significant byte (MSB) at the lowest memory address, whereas Little-Endian stores the least significant byte (LSB) at the lowest memory address.",,2.5,0,2026-05-19,0
3,"What is the operational difference between Immediate Addressing and Register Indirect Addressing modes in assembly?",,"Immediate Addressing embeds the raw operand data directly inside the instruction itself, while Register Indirect Addressing uses a register to hold the memory address where the operand data is stored.",,2.5,0,2026-05-19,0
3,"What is the role of the Status Register (or Condition Code Register) in a microcontroller CPU?",,"It contains individual 1-bit flags (such as Zero, Carry, Overflow, and Negative) that reflect the outcome of the most recent arithmetic or logical ALU operation.",,2.5,0,2026-05-19,0
3,"What happens to the program flow when a conditional branching instruction is executed in assembly language?",,"The CPU evaluates specific flags in the status register; if the condition is met, it modifies the Program Counter (PC) to jump to a target label, otherwise it proceeds sequentially.",,2.5,0,2026-05-19,0
3,"Describe how the Stack Pointer (SP) updates during a PUSH versus a POP operation on a standard full-descending stack.",,"A PUSH operation decrements the Stack Pointer first and then writes data to the memory location, while a POP operation reads data from the stack first and then increments the Stack Pointer.",,2.5,0,2026-05-19,0
3,"What is the function of the Link Register (LR) during an assembly subroutine or procedure call?",,"The Link Register automatically holds the return address (the address of the instruction immediately following the call) so the program knows where to return after the subroutine finishes.",,2.5,0,2026-05-19,0
3,"How are function parameters typically passed in modern embedded RISC calling conventions before resorting to the stack?",,"Parameters are passed via designated, high-speed CPU registers (e.g., R0 through R3 in ARM architecture) to minimize slow memory overhead.",,2.5,0,2026-05-19,0
3,"What is an Interrupt Vector Table (IVT)?",,"An array of memory addresses located at a fixed system position that maps specific hardware interrupt signals to the starting memory addresses of their corresponding Interrupt Service Routines (ISRs).",,2.5,0,2026-05-19,0
3,"Why does incrementing a pointer variable in C differ from incrementing a standard integer variable?",,"Pointer arithmetic scales automatically; incrementing a pointer adds the size (in bytes) of the underlying data type it references, rather than simply adding 1.",,2.5,0,2026-05-19,0
3,"Why is dynamic memory allocation (malloc/free) heavily discouraged in safety-critical embedded C programming?",,"It introduces non-deterministic execution times, risks heap fragmentation that can cause unexpected out-of-memory faults, and introduces risks of memory leaks.",,2.5,0,2026-05-19,0
3,"What does the 'volatile' keyword tell the C compiler, and why is it essential for embedded peripheral registers?",,"It tells the compiler that the variable's value can change outside the normal program flow, forcing the compiler to generate code that reads/writes directly from hardware memory every time instead of optimizing it into a cache register.",,2.5,0,2026-05-19,0
3,"What contents are stored within a standard function stack frame during C program execution?",,"It stores local variables allocated inside the function, function parameters, the return address back to the caller, and any saved processor registers required to restore state.",,2.5,0,2026-05-19,0
3,"What are two strict constraints that apply when writing an Interrupt Service Routine (ISR) in embedded C?",,"An ISR must not accept any arguments, must not return any values, and must be designed to execute quickly without calling blocking operations or I/O functions.",,2.5,0,2026-05-19,0
3,"Provide the C expression to set Bit 3 of a hardware register named 'REG' using bitwise operations without changing any other bits.",,"REG |= (1 << 3);",,2.5,0,2026-05-19,0
3,"Provide the C expression to clear Bit 5 of a hardware register named 'REG' using bitwise operations without changing any other bits.",,"REG &= ~(1 << 5);",,2.5,0,2026-05-19,0
3,"Why is fixed-point arithmetic often preferred over floating-point arithmetic in low-cost embedded microcontrollers?",,"Many low-cost microcontrollers lack a hardware Floating Point Unit (FPU); performing float operations requires slow, resource-heavy software emulation, whereas fixed-point operations utilize fast, standard integer math hardware.",,2.5,0,2026-05-19,0
