subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
10,"What is the difference between a propositional logic statement and a predicate logic statement?",,"Propositional logic deals with static declarative variables that are strictly true or false, whereas predicate logic uses predicates containing variables (e.g., P(x)) alongside existential (∃) or universal (∀) quantifiers to define properties over sets.",,2.5,0,2026-05-19,0
10,"Explain the structural mechanism of a Proof by Contraposition.",,"To prove the conditional implication 'If p, then q', you instead prove its logically equivalent contrapositive statement: 'If not q, then not p' by assuming q is false and demonstrating that p must also be false.",,2.5,0,2026-05-19,0
10,"Explain the structural mechanism of a Proof by Contradiction.",,"To prove a statement p is true, you begin by assuming p is false. You then use logical deductions to derive an impossible conclusion or a contradiction (such as r and not r), proving the initial assumption was impossible.",,2.5,0,2026-05-19,0
10,"What does it mean for a function to be injective (one-to-one) versus surjective (onto)?",,"Injective means that distinct domain elements map to distinct codomain elements (if f(a)=f(b) then a=b). Surjective means that every element in the codomain is mapped to by at least one element in the domain.",,2.5,0,2026-05-19,0
10,"Define what a bijective function is and state its significance regarding inverses.",,"A bijective function is both perfectly injective and surjective. This exact match ensures that an inverse function (f^-1) exists and can map uniquely back to the original domain.",,2.5,0,2026-05-19,0
10,"What is a geometric sequence, and what is the formula for the sum of its first 'n' terms given a scale factor 'a' and a common ratio 'r' (where r != 1)?",,"A sequence where each term after the first is found by multiplying the previous term by a non-zero constant ratio r. The sum formula is: Sn = a * (1 - r^n) / (1 - r).",,2.5,0,2026-05-19,0
10,"State the formal mathematical definition of modular congruence: a ≡ b (mod m).",,"Two integers a and b are congruent modulo m if their difference (a - b) is an integer multiple of m, meaning m cleanly divides (a - b) with no remainder.",,2.5,0,2026-05-19,0
10,"What is the cardinality of a set, and what does it mean for an infinite set to be 'countably infinite'?",,"Cardinality is the measure of the number of elements in a set. An infinite set is countably infinite if it has the same cardinality as the set of natural numbers (N), meaning its elements can be put into a 1-to-1 bijection with N.",,2.5,0,2026-05-19,0
10,"Explain the two core steps required to execute a mathematical proof by induction.",,"1. Basis Step: Prove that the property holds true for the initial base value (usually n=1 or n=0). 2. Inductive Step: Prove that if the property is assumed true for an arbitrary integer k, it must logically follow as true for the next integer k+1.",,2.5,0,2026-05-19,0
10,"State the Pigeonhole Principle.",,"If 'n' items are put into 'm' containers and n > m, then at least one container must contain more than one item.",,2.5,0,2026-05-19,0
10,"What is the structural difference between a permutation and a combination in combinatorial analysis?",,"Permutations track configurations where the specific arrangement order matters, whereas combinations evaluate selections where the grouping arrangement order does not matter.",,2.5,0,2026-05-19,0
10,"State the Binomial Theorem and the formula for calculating its coefficients.",,"(x + y)^n = Σ (n choose k) * x^(n-k) * y^k from k=0 to n. The coefficients are calculated using the formula: (n choose k) = n! / (k! * (n - k)!).",,2.5,0,2026-05-19,0
10,"What two components are required to properly formulate a structural recursion or recurrence relation?",,"1. Base cases: One or more explicitly defined initial values that terminate the loop. 2. Recursive steps: A rule for evaluating subsequent terms by referencing earlier states in the sequence.",,2.5,0,2026-05-19,0
10,"What three fundamental properties must a binary relation R on a set A satisfy to be classified as an Equivalence Relation?",,"1. Reflexive: (a, a) is in R for all a in A. 2. Symmetric: If (a, b) is in R, then (b, a) is in R. 3. Transitive: If (a, b) and (b, c) are in R, then (a, c) is in R.",,2.5,0,2026-05-19,0
10,"What properties characterize a Partial Order Relation, and how does it differ from an Equivalence Relation?",,"A Partial Order Relation must be reflexive, antisymmetric (if aRb and bRa, then a=b), and transitive. It differs from an equivalence relation because it replaces symmetry with antisymmetry, allowing items to be ranked in a hierarchy.",,2.5,0,2026-05-19,0
