subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
14,"What are the five core phases of the Software Development Life Cycle (SDLC)?",,"1. Requirements Gathering/Analysis. 2. System Design. 3. Implementation (Coding). 4. Testing. 5. Deployment and Maintenance.",,2.5,0,2026-05-19,0
14,"Contrast the Waterfall model with the Agile methodology in software management.",,"Waterfall is a rigid linear, sequential model where each phase must finish before the next begins. Agile is iterative and incremental, focusing on continuous feedback, adaptation, and regular software releases.",,2.5,0,2026-05-19,0
14,"What are the stages of the Tuckman model of group dynamics for software project teams?",,"Forming (orientation), Storming (conflict over boundaries), Norming (cohesion and standards), Performing (autonomous productivity), and Adjourning (project wrap-up).",,2.5,0,2026-05-19,0
14,"What is COCOMO in software engineering, and what variables does it use to estimate project costs?",,"COCOMO (Constructive Cost Model) is an empirical software cost estimation model that evaluates system scale using Lines of Code (LOC) alongside cost drivers like product complexity and team capabilities.",,2.5,0,2026-05-19,0
14,"Differentiate between Functional Requirements and Non-Functional Requirements.",,"Functional requirements define specific behaviors or services the system must execute (e.g., login, checkout). Non-functional requirements specify quality traits or system constraints (e.g., security, scalability, response latency).",,2.5,0,2026-05-19,0
14,"What is the explicit purpose of a Software Requirements Specification (SRS) document?",,"It serves as a legally binding structural blueprint between clients and developers that completely documents all functional capacities, non-functional rules, and system constraints.",,2.5,0,2026-05-19,0
14,"What is the architectural difference between a conceptual data model and a physical data model?",,"A conceptual data model defines high-level business entities and their relationships independent of technology, while a physical data model describes the specific database layout including table columns, data types, and primary/foreign keys.",,2.5,0,2026-05-19,0
14,"What is an Entity-Relationship Diagram (ERD)?",,"A visual data modeling tool that maps the logical structure of a database by illustrating system entities, their explicit attributes, and the numerical cardinality of their relationships.",,2.5,0,2026-05-19,0
14,"Define the four foundational principles of Object-Oriented Programming (OOP).",,"1. Encapsulation (bundling data and methods while hiding internal states). 2. Inheritance (subclasses deriving traits from base classes). 3. Polymorphism (processing different data types through a uniform interface). 4. Abstraction (hiding background implementation details).",,2.5,0,2026-05-19,0
14,"In Object-Oriented Design, what is the operational difference between Composition and Inheritance?",,"Inheritance represents an 'is-a' relationship where a subclass extends a parent class. Composition represents a 'has-a' relationship where a class contains references to objects of other classes as fields.",,2.5,0,2026-05-19,0
14,"State what the 'S' and 'O' stand for in the SOLID design principles.",,"S: Single Responsibility Principle (a class should have only one reason to change). O: Open/Closed Principle (software entities should be open for extension, but closed for modification).",,2.5,0,2026-05-19,0
14,"State what the 'L', 'I', and 'D' stand for in the SOLID design principles.",,"L: Liskov Substitution Principle (subtypes must be substitutable for base types). I: Interface Segregation Principle (many client-specific interfaces are better than one general interface). D: Dependency Inversion Principle (depend on abstractions, not concretions).",,2.5,0,2026-05-19,0
14,"What is the structural difference between Unit Testing and Integration Testing?",,"Unit Testing verifies the execution of individual isolated modules or functions in isolation, whereas Integration Testing evaluates the interaction interfaces and data flow between combined system components.",,2.5,0,2026-05-19,0
14,"Contrast Black-Box Testing with White-Box Testing.",,"Black-Box Testing evaluates system functionality strictly against requirements without any knowledge of internal code paths. White-Box Testing uses knowledge of internal code logic to design tests that verify execution branches, loops, and statement coverage.",,2.5,0,2026-05-19,0
14,"What is Regression Testing, and when should it be performed?",,"Re-running existing test suites to confirm that recent code changes or bug fixes have not inadvertently broken or corrupted pre-existing functional behaviors.",,2.5,0,2026-05-19,0
14,"What is the difference between Verification and Validation in software quality assurance?",,"Verification asks 'Are we building the product right?' (verifying adherence to specs), while Validation asks 'Are we building the right product?' (verifying that the software satisfies user expectations).",,2.5,0,2026-05-19,0
14,"What are the four classifications of Software Maintenance?",,"1. Corrective (fixing bugs). 2. Adaptive (updating to new environments/OS). 3. Perfective (improving performance or adding user requests). 4. Preventive (refactoring code to prevent future faults).",,2.5,0,2026-05-19,0
14,"What is Refactoring, and why is it categorized under preventive software maintenance?",,"The process of restructuring existing computer code without changing its external behavior. It reduces technical debt, improves code readability, and simplifies future maintenance.",,2.5,0,2026-05-19,0
14,"What is Continuous Integration / Continuous Deployment (CI/CD)?",,"An automated pipeline engineering methodology where developer code changes are continuously built, tested, and automatically deployed to staging or production environments to accelerate release cycles.",,2.5,0,2026-05-19,0
14,"In Object-Oriented Analysis, what is the difference between a Class Diagram and a Use Case Diagram in UML?",,"A Use Case Diagram models user interactions with the system to map behavioral requirements, while a Class Diagram provides a static structural model of system classes, attributes, methods, and relationships.",,2.5,0,2026-05-19,0
