subject_id,question,question_image,answer,answer_image,ease_factor,interval_days,next_review_date,repetitions
13,"What is the fundamental operational difference between circuit switching and packet switching networks?",,"Circuit switching establishes a dedicated, continuous physical path between two nodes for the entire duration of a communication session, whereas packet switching breaks data into discrete blocks (packets) that share network links and route independently dynamically.",,2.5,0,2026-05-19,0
13,"Define propagation delay versus transmission delay in network latency analysis.",,"Transmission delay is the time required to push all of a packet's bits into the wire (Packet Size / Bandwidth), while Propagation delay is the time it takes for a single bit to travel physically from source to destination (Distance / Speed of Signal).",,2.5,0,2026-05-19,0
13,"What is the difference between network bandwidth and network throughput?",,"Bandwidth is the maximum theoretical data transmission rate of a physical communication channel, whereas throughput is the actual measure of successful data successfully delivered over that channel under real-world conditions.",,2.5,0,2026-05-19,0
13,"How does the Client/Server model function in application layer architecture?",,"A centralized architectural model where a dedicated host (server) remains always-on, possesses a permanent IP address, and waits to fulfill data service requests initiated by arbitrary, transient hosts (clients).",,2.5,0,2026-05-19,0
13,"What is a network socket?",,"A software abstraction layer that serves as the endpoint interface for data exchange between an application process and the underlying transport layer protocol stack.",,2.5,0,2026-05-19,0
13,"Explain the role and transport-layer dependencies of the Hypertext Transfer Protocol (HTTP).",,"HTTP defines how web browsers request resources and how web servers deliver web page contents across the internet; it operates at the Application Layer and relies strictly on the reliable delivery of TCP.",,2.5,0,2026-05-19,0
13,"Which three distinct protocols handle internet email infrastructure, and what are their specific directions/roles?",,"Simple Mail Transfer Protocol (SMTP) transfers mail from client-to-server and between separate email servers. Post Office Protocol (POP) and Internet Message Access Protocol (IMAP) pull emails from server-to-client mailbox apps.",,2.5,0,2026-05-19,0
13,"Why does the File Transfer Protocol (FTP) utilize two distinct concurrent connection paths?",,"FTP uses a separate Out-of-Band architecture: one dedicated connection for passing control tokens/commands (Port 21) and a totally separate data connection (Port 20) for executing actual file transfers.",,2.5,0,2026-05-19,0
13,"Contrast the core operational philosophies of the Transmission Control Protocol (TCP) and the User Datagram Protocol (UDP).",,"TCP is a connection-oriented, reliable protocol that guarantees ordered, error-checked stream delivery. UDP is a connectionless, lightweight protocol that sends unacknowledged datagrams with minimal overhead, favoring speed over guaranteed delivery.",,2.5,0,2026-05-19,0
13,"Describe the structural 'Three-Way Handshake' sequence used to establish a reliable TCP session.",,"1. Client sends a SYN segment to server. 2. Server responds with a combined SYN-ACK segment back. 3. Client transmits a final ACK segment to finalize the active state binding.",,2.5,0,2026-05-19,0
